"副本编号";"怪物配置";"经验";"掉落编号";"说明"
201;"4158:17|4151:6,8|4153:11,13";0;"2101,2102,2103,2104,2105";"锁妖塔-树妖"
202;"4156:17|4153:6,7,8|4151:11,13";0;"2106,2107,2108,2109,2110";"锁妖塔-蝙蝠"
203;"4157:17|4151:6,8,12|4152:11,13";0;"2111,2112,2113,2114,2115";"锁妖塔-肉虫"
204;"4160:17|4152:6,8|4155:11,13";0;"2116,2117,2118,2119,2120";"锁妖塔-蝶妖"
205;"4159:17|4154:6,8|4155:11,12,13";0;"2121,2122,2123,2124,2125";"锁妖塔-花妖"
301;"4256:17|4251:6,8||4252:11,13";0;"2201,2202,2203,2204,2205";"熔岩巨兽"
302;"4257:12|4251:1,3||4252:6,8";0;"2206,2207,2208,2209,2210";"火麒麟"
303;"4258:17|4253:6,7,8,12";0;"2211,2212,2213,2214,2215";"烈焰妖道"
304;"4259:12|4254:6,8|4253:1,3";0;"2216,2217,2218,2219,2220";"火妖皇"
305;"4260:17|4255:2,8|4254:6,12";0;"2221,2222,2223,2224,2225";"太阳神"
401;"4256:17|4251:6,8||4252:11,13";0;"2301,2302,2303,2304,2305";
402;"4257:12|4251:6,8||4252:11,13";0;"2306,2307,2308,2309,2310";
403;"4258:17|4253:6,7,8,12";0;"2311,2312,2313,2314,2315";
404;"4259:12|4254:6,8|4253:1,3";0;"2316,2317,2318,2319,2320";
405;"4260:17|4255:2,8|4254:6,12";0;"2321,2322,2323,2324,2325";
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
